descrizione,quantita,prezzo,importo,iva
ROT70110 PZ 10 CON FST AMBRA,48,1.50,72.00,22
SPUGNA POWER 3+1,48,0.39,18.72,22
PORTAFOTO IN PP ASSZCOL CM10X15,24,1.40,33.60,22
DEUMIDIFICATORE 100GR LAVANDA,24,0.48,11.52,22
SPUGNA POWER 3+1 OVALE,48,0.39,18.72,22
PANNO 50x70 220g D/BOX,48,0.85,40.80,22
SPUGNA SALVADITA 3PZ,48,0.38,18.24,22
PANNO 50x70 ASOLA 220g D/BOX,48,0.85,40.80,22
CALAMITA FERMA TENDA FIORE CREMA,48,0.51,24.48,22
CALAMITA FERMA TENDA FIORE BORDEAUX,48,0.51,24.48,22
TUBO GAS UNI7140:2013 713 CM.150 CON FASCETTE (SAC),12,3.68,44.16,22
CALAMITA FERMA TENDA FIORE ROSA,48,0.51,24.48,22
BUSTE PATT. 50X60 20PZ VERDE,48,0.45,21.60,22
BUSTE PATT. 50X60 20PZ GIALLO,48,0.45,21.60,22
BUSTE SPESA 55X40 30PZ,48,0.45,21.60,22
LAZOS ESTRELLA METALIZADOS 14MM 3UDS (1 ROJO + 1 ORO + 1 PLATA)",48,0.48,23.04,22
SALVADANAIO DI METALLO BIRRA,12,1.20,14.40,22
SALVADANAIO DI METALLO BIRRA,12,1.65,19.80,22
BOTTIGLIA QUADRATA MECCANNICO 50ML,48,0.65,31.20,22
SACCO 55X65 AMBRADA 15PZ CON MANIGLIA,60,0.75,45.00,22
POP CORN EXPRESS 1200W 3ASS.,12,16.49,197.88,22
AFFETTATRICE MANUALE 5 IN 1 BIANCO,12,5.58,66.96,22
CREPIER Ø28 CM,24,3.40,81.60,22
SACCO 55X65 CELESTE DA 15 PZ CON MINIGLIA,120,0.75,90.00,22
SACCO 55X65 ROSA DA 15PZ,120,0.75,90.00,22
SACCO 55X65 VERDE DA 15PZ CON MANIGLIA,120,0.75,90.00,22
SACCO 55X65 AMBRADA 15PZ CON MANIGLIA,120,1.75,210.00,22
SACCHI 90X120 PZ10 ROLSAC NEUTRO,120,1.50,180.00,22
DC SACCO PATTUMERA 70X110 BLU 10PZ CON LEGACCIO,120,0.85,102.00,22
DC SACCO PATTUMERA 70X110 VERDE 10PZ CON LEGACCIO 2663,120,0.85,102.00,22
SACCHI IN PLTE AMBRA PER RACCOLTA NU 70*110,72,1.50,108.00,22
REGOLAT BOMBOLA ATTACCO A SQUADRA TARATURA,48,5.35,256.80,22
SPUGNA POWER 3+1 ONDA,48,0.43,20.64,22
CORNICE,48,0.68,32.64,22
CORNICE,48,1.45,69.60,22
CORNICI NERO 30X40CM,48,4.05,194.40,22
CORNICI NERO 25X30CM,48,2.55,122.40,22
CORNICE,48,1.55,74.40,22
CORNICE 30*40,48,3.25,156.00,22
PARASPIGOLO ALLUMINIO,48,4.50,216.00,22
ADESIVO DA PAVIMENTO,48,0.80,38.40,22
CORNICE 30X40,60,2.98,178.80,22
CORNICE 15X20,48,1.09,52.32,22
ROTOLO PER ALLESTIMENTO VETRI,48,1.55,74.40,22
PANNI MULTIUSO 3PZ,48,0.75,36.00,22
FOGLIO ADESIVO PER RIVESTIMENTI,48,1.65,79.20,22
DECORAZIONE DELLA PARETE 30X60,48,1.00,48.00,22
PANNO 30X30,60,0.35,21.00,22
PANNO 35X75,72,0.95,68.40,22
CARTA DI PLASTICA ADESIVA 50*280,36,4.50,162.00,22
CARTA DI PLASTICA ADESIVA 50*280,36,4.50,162.00,22
PANNO 30X30,40,0.35,14.00,22
PANNO 30X30 2PZ,40,0.56,22.40,22
CORNICI NERO 40X50CM,60,5.55,333.00,22
CORNICI NERO 10X15CM,60,1.25,75.00,22
CORNICE 20X25,36,1.25,45.00,22
CORNICE 20X25,36,1.70,61.20,22
CORNICI NERO 50X70CM,36,7.55,271.80,22
CORNICE A4,36,1.58,56.88,22
CORNICE 20X25,36,1.96,70.56,22
CORNICE,24,2.49,59.76,22
CORNICE,12,3.89,46.68,22
CORNICE,12,3.95,47.40,22
CORNICE 20*25,12,1.78,21.36,22
CORNICE,24,1.79,42.96,22
CORNICE,24,0.93,22.32,22
CORNICE,24,2.80,67.20,22
CORNICE,9,2.73,24.57,22
