descrizione,quantita,prezzo,importo,iva
CIOTOLINA PER SALSA SOIO IN CERAMICA D8CM,96,1.35,129.60,22
PIATTI PIANI 28CM,72,3.50,252.00,22
PIATTI FONDI 28CM,72,3.90,280.80,22
PIATTI PIANI 32CM,72,3.90,280.80,22
PIATTI FONDI 32CM,72,4.30,309.60,22
BICCHIERE DI VETRO POLOSICLICATO 300ML 4COL,48,3.60,172.80,22
B11 BICCHIERE ACQUA 300ML 6PZ,60,3.30,198.00,22
CIOTOLA IN CERAMICA D 20CM,60,2.60,156.00,22
CIOTOLA IN CERAMICA PER SALSA D6CM,90,1.20,108.00,22
CIOTOLA DI VETRO PER DESSERT 230ML,60,2.50,150.00,22
CIOTOLA SERIE REGULAR 450ML D18CM,48,2.95,141.60,22
B07 BICCHIERE BIRRA 600ML 2PZ,40,4.60,184.00,22
MINI CIOTOLE DA DESSERT IN PLAST. TRASP. 180ML,90,2.60,234.00,22
B15 CALICE VINO 37CL 3PZ,48,4.20,201.60,22
BICCHIERE DI VETRO ROSA CON TEXTURE DIAMANTE PER ACQUA 330ML 4PZ,48,6.80,326.40,22
B16 CALICE VINO 42CL 3PZ,48,5.20,249.60,22
LATTIERA BOMBATA INOX 6 TAZZE,48,3.70,177.60,22
LATTIERA BOMBATA INOX 1TAZZA,48,2.50,120.00,22
CESTINO PORTAPANE OVALE 20°12 CM,80,2.20,176.00,22
SCOLAINSALATA JOLLY 24°24'19CM,48,2.50,120.00,22
CENTRIFUGA SCOLAINSALATA VERDE 24°24'19CM,12,4.80,57.60,22
BICCHIERE ACQUA PICCOLO SURT VRM 3PZ,96,2.00,192.00,22
SCOLAINSALATA SL,36,4.80,172.80,22
CARAFFA PER ACQUA 1L SURT,72,1.80,129.60,22
CARAFFA PER ACQUA 2L SURT,72,2.30,165.60,22
ZUCCHERIERA SURT VRM,60,1.69,101.40,22
ZUCCHERIA BIANCO C/C,48,4.50,216.00,22
SCOLAPIATTI MOD.A BIANCO 37X33X4CM,24,2.99,71.76,22
SCOLAPATE ACCIAIO INCOX,24,3.30,79.20,22
TAGLIAPIZZA BLACK INOX,24,3.60,86.40,22
GRATTUGIA CON CONTENITORE,24,3.90,93.60,22
GRATTUGIA AFFETTAVERDURE,24,1.50,36.00,22
GRATTUGIA 13CM INOX,36,1.78,64.08,22
GRATTUGIA 28CM INOX,36,2.30,82.80,22
PENTOLA 14CM,24,6.80,163.20,22
PENTOLA 16CM,24,7.50,180.00,22
PENTOLA 18CM,24,7.80,187.20,22
PENTOLA 20CM,24,9.80,235.20,22
PENTOLA 22CM,24,11.00,264.00,22
PENTOLA 24CM,24,12.80,307.20,22
TAGLIERE 32.5°21,12,2.90,34.80,22
CASSERUOLA 14CM,12,4.70,56.40,22
CASSERUOLA 20CM,12,7.70,92.40,22
SPATOLA DA CUCINA 30°5CM,72,0.80,57.60,22
COPERCHIO INOX 30CM UNIVERSALE,24,3.10,74.40,22
MATTARELLO 38.5°6CM,12,3.90,46.80,22
